"filename", "language", "JSON", "JavaScript", "Markdown", "YAML", "Dart", "C++", "Swift", "XML", "Groovy", "Properties", "HTML", "Kotlin", "comment", "blank", "total"
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\service\database.dart", "Dart", 0, 0, 0, 0, 277, 0, 0, 0, 0, 0, 0, 0, 34, 41, 352
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\shared\animated_toggle.dart", "Dart", 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 3, 95
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\shared\constants.dart", "Dart", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 2, 9, 52
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\shared\custom_alert_dialog.dart", "Dart", 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 2, 84
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\shared\custom_app_bar.dart", "Dart", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\shared\custom_buttons.dart", "Dart", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\shared\custom_small_widgets.dart", "Dart", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 3, 22
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\shared\custom_text_field.dart", "Dart", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 13, 76
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\shared\functions.dart", "Dart", 0, 0, 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 27, 25, 186
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\shared\image_banner.dart", "Dart", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 4, 41
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\shared\loading.dart", "Dart", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 3, 43
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\shared\strings.dart", "Dart", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 7, 12, 72
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\shared\theme_provider.dart", "Dart", 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 7, 10, 114
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\pubspec.yaml", "YAML", 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 73
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 7, 31
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 14, 8, 101
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\web\manifest.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23
"Total", "-", 6243, 25, 13, 234, 5514, 1, 12, 299, 98, 8, 79, 126, 493, 644, 13789
